Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,"General Household Survey (GHS), Stats SA",SH_H2O_SAFE,710,PT,87.5
2016,A,0,"General Household Survey (GHS), Stats SA",SH_H2O_SAFE,710,PT,86.8
2017,A,0,"General Household Survey (GHS), Stats SA",SH_H2O_SAFE,710,PT,86.4
2018,A,0,"General Household Survey (GHS), Stats SA",SH_H2O_SAFE,710,PT,87.1
2019,A,0,"General Household Survey (GHS), Stats SA",SH_H2O_SAFE,710,PT,86.2
2020,A,0,"General Household Survey (GHS), Stats SA",SH_H2O_SAFE,710,PT,86.6
2021,A,0,"General Household Survey (GHS), Stats SA",SH_H2O_SAFE,710,PT,86.3
2022,A,0,"General Household Survey (GHS), Stats SA",SH_H2O_SAFE,710,PT,86.2
2023,A,0,"General Household Survey (GHS), Stats SA",SH_H2O_SAFE,710,PT,84.4
